Epoca;Idade;Altura;Minutos;"Ser Transferido";"Valor de Mercado";Posicao
2015;27;1.9;4050;0;18;GK
2016;28;1.9;4126;0;14;GK
2017;29;1.9;3420;0;16;GK
2018;30;1.9;5100;1;16;GK
2019;31;1.9;3330;0;20;GK
2015;23;1.85;0;0;0.8;GK
2016;24;1.85;270;1;0.2;GK
2017;25;1.85;930;0;0.2;GK
2018;26;1.85;1170;0;0.25;GK
2019;27;1.85;680;1;0.125;GK
2015;21;1.88;1526;0;1.75;DEF
2016;22;1.88;450;0;2.5;DEF
2017;23;1.88;1933;1;1;DEF
2018;24;1.88;1333;1;1;DEF
2019;25;1.88;1099;0;1.5;DEF
2015;24;1.82;0;1;1.5;DEF
2016;25;1.82;2395;1;1.25;DEF
2017;26;1.82;1336;1;0.8;DEF
2018;27;1.82;1253;1;0.8;DEF
2019;28;1.82;2538;0;1;DEF
2015;20;1.92;0;0;0.075;DEF
2016;21;1.92;0;0;0.6;DEF
2017;22;1.92;2787;0;1;DEF
2018;23;1.92;2857;1;2;DEF
2019;24;1.92;3838;1;2.5;DEF
2015;22;1.76;0;0;0.75;DEF
2016;23;1.76;1440;1;0.3;DEF
2017;24;1.76;183;1;0.2;DEF
2018;25;1.76;1361;0;0.25;DEF
2019;26;1.76;2492;1;0.65;DEF
2015;24;1.71;2870;1;9.5;DEF
2016;25;1.71;2213;0;11;DEF
2017;26;1.71;2880;0;15;DEF
2018;27;1.71;3157;1;15;DEF
2019;28;1.71;2349;0;12;DEF
2015;22;1.73;2199;0;2.75;DEF
2016;23;1.73;970;0;2.5;DEF
2017;24;1.73;978;1;1.5;DEF
2018;25;1.73;4161;0;4;DEF
2019;26;1.73;2759;0;4;DEF
2015;23;1.87;3465;0;22;MED
2016;24;1.87;2860;0;26;MED
2017;25;1.87;3748;0;25;MED
2018;26;1.87;3241;1;25;MED
2019;27;1.87;3507;0;25;MED
2015;26;1.75;3247;0;10;MED
2016;27;1.75;3221;0;18;MED
2017;28;1.75;2857;1;25;MED
2018;29;1.75;1375;0;20;MED
2019;30;1.75;1506;0;13;MED
2015;22;1.79;3182;0;6.5;MED
2016;23;1.79;3569;1;30;MED
2017;24;1.79;2256;1;30;MED
2018;25;1.79;1685;0;25;MED
2019;26;1.79;1168;0;18;MED
2015;25;1.69;1327;0;5;MED
2016;26;1.69;243;1;1.5;MED
2017;27;1.69;2529;0;2.5;MED
2018;28;1.69;697;1;1.75;MED
2019;29;1.69;2094;0;2;MED
2015;20;1.75;0;0;0.4;MED
2016;21;1.75;0;0;0.7;MED
2017;22;1.75;1562;0;1.5;MED
2018;23;1.75;2932;1;3;MED
2019;24;1.75;15;0;2;MED
2015;20;1.65;310;0;0.25;ATA
2016;21;1.65;31;0;1.5;ATA
2017;22;1.65;1882;0;2.5;ATA
2018;23;1.65;1041;1;4.5;ATA
2019;24;1.65;3333;1;6;ATA
2015;21;1.73;1966;0;6;ATA
2016;22;1.73;1025;1;4.5;ATA
2017;23;1.73;1704;0;4.5;ATA
2018;24;1.73;0;1;3;ATA
2019;25;1.73;754;1;1.75;ATA
2015;21;1.74;1236;0;1.2;ATA
2016;22;1.74;2512;0;3;ATA
2017;23;1.74;2564;1;5;ATA
2018;24;1.74;1009;0;5;ATA
2019;25;1.74;888;1;4.5;ATA
2015;19;1.75;0;0;0.3;ATA
2016;20;1.75;712;0;2.5;ATA
2017;21;1.75;427;0;2;ATA
2018;22;1.75;2395;1;3;ATA
2019;23;1.75;1445;0;5.5;ATA
2015;20;1.73;33;0;0.8;ATA
2016;21;1.73;1763;0;6;ATA
2017;22;1.73;3642;0;20;ATA
2018;23;1.73;4368;1;35;ATA
2019;24;1.73;1919;1;28;ATA
2015;20;1.81;2;0;0.5;ATA
2016;21;1.81;0;0;0.35;ATA
2017;22;1.81;1428;0;0.325;ATA
2018;23;1.81;0;1;0.25;ATA
2019;24;1.81;1552;0;0.4;ATA
2016;22;1.89;2920;0;3.5;DEF
2017;23;1.89;2720;1;9;DEF
2018;24;1.89;321;0;1;DEF
2019;25;1.89;2141;1;2;DEF
2017;20;1.89;0;0;0.65;GK
2018;21;1.89;0;1;0.4;GK
